Categorias Tudo Sobre 
uma nova tradução 
nova tradução Em 
tradução Em geral 
Em geral uma 
geral uma linguagem 
uma linguagem de 
linguagem de programação 
de programação é 
programação é usada 
é usada para 
usada para programar 
para programar No 
programar No entanto 
No entanto cada 
entanto cada um 
cada um tem 
um tem um 
tem um escopo 
um escopo e 
escopo e forma 
e forma de 
forma de comunicação 
de comunicação diferente 
comunicação diferente Em 
diferente Em resumo 
Em resumo e 
resumo e cada 
e cada instrução 
cada instrução tem 
instrução tem seu 
tem seu código 
seu código de 
código de operação 
de operação exclusivo 
operação exclusivo que 
exclusivo que o 
que o programador 
o programador fornece 
programador fornece à 
fornece à máquina 
à máquina Enquanto 
máquina Enquanto o 
Enquanto o profissional 
o profissional insere 
profissional insere dados 
insere dados no 
dados no idioma 
no idioma conhecido 
idioma conhecido a 
conhecido a máquina 
a máquina os 
máquina os absorve 
os absorve na 
absorve na linguagem 
na linguagem de 
linguagem de máquina 
de máquina através 
máquina através de 
através de tradutores 
de tradutores ou 
tradutores ou compiladores 
ou compiladores permitindo 
compiladores permitindo Em 
permitindo Em outras 
Em outras palavras 
outras palavras a 
palavras a linguagem 
a linguagem de 
linguagem de baixo 
de baixo nível 
baixo nível está 
nível está próxima 
está próxima das 
próxima das linguagens 
das linguagens de 
linguagens de máquina 
de máquina enquanto 
máquina enquanto a 
enquanto a linguagem 
a linguagem de 
linguagem de alto 
de alto nível 
alto nível está 
nível está mais 
está mais próxima 
mais próxima da 
próxima da compreensão 
da compreensão e 
compreensão e da 
e da linguagem 
da linguagem humana 
linguagem humana Por 
humana Por software 
Por software de 
software de programação 
de programação entendemos 
programação entendemos o 
entendemos o conjunto 
o conjunto de 
conjunto de todas 
de todas as 
todas as ferramentas 
as ferramentas que 
ferramentas que permitem 
que permitem ao 
permitem ao programador 
ao programador criar 
programador criar escrever 
criar escrever códigos 
escrever códigos depurar 
códigos depurar manter 
depurar manter e 
manter e empacotar 
e empacotar projetos 
empacotar projetos Conheça 
projetos Conheça a 
Conheça a seguir 
a seguir alguns 
seguir alguns dos 
alguns dos diferentes 
dos diferentes programas 
diferentes programas pelos 
programas pelos quais 
pelos quais o 
quais o projeto 
o projeto deve 
projeto deve passar 
deve passar para 
passar para ser 
para ser administrado 
ser administrado Ao 
administrado Ao escrever 
Ao escrever os 
escrever os códigos 
os códigos eles 
códigos eles se 
eles se completam 
se completam marcando 
completam marcando os 
marcando os erros 
os erros sintáticos 
erros sintáticos e 
sintáticos e a 
e a refatoração 
a refatoração Como 
refatoração Como mencionado 
Como mencionado acima 
mencionado acima eles 
acima eles convertem 
eles convertem o 
convertem o código 
o código digitado 
código digitado à 
digitado à linguagem 
à linguagem de 
linguagem de máquina 
de máquina gerando 
máquina gerando um 
gerando um código 
um código binário 
código binário executável 
binário executável Eles 
executável Eles servem 
Eles servem para 
servem para otimizar 
para otimizar o 
otimizar o tempo 
o tempo de 
tempo de desenvolvimento 
de desenvolvimento e 
desenvolvimento e ajudam 
e ajudam a 
ajudam a corrigir 
a corrigir erros 
corrigir erros por 
erros por meio 
por meio do 
meio do monitoramento 
do monitoramento da 
monitoramento da execução 
da execução de 
execução de um 
de um programa 
um programa dos 
programa dos valores 
dos valores de 
valores de determinadas 
de determinadas variáveis 
determinadas variáveis e 
variáveis e da 
e da referência 
da referência a 
referência a objetos 
a objetos na 
objetos na memória 
na memória Este 
memória Este programa 
Este programa pega 
programa pega objetos 
pega objetos gerados 
objetos gerados nas 
gerados nas primeiras 
nas primeiras etapas 
primeiras etapas do 
etapas do processo 
do processo de 
processo de compilação 
de compilação e 
compilação e os 
e os recursos 
os recursos necessários 
recursos necessários da 
necessários da biblioteca 
da biblioteca remove 
biblioteca remove os 
remove os processos 
os processos e 
processos e dados 
e dados de 
dados de que 
de que não 
que não precisa 
não precisa e 
precisa e vincula 
e vincula o 
vincula o código 
o código à 
código à referida 
à referida biblioteca 
referida biblioteca para 
biblioteca para aumentar 
para aumentar seu 
aumentar seu tamanho 
seu tamanho e 
tamanho e extensão 
e extensão Conforme 
extensão Conforme você 
Conforme você lê 
você lê este 
lê este artigo 
este artigo o 
artigo o tradutor 
o tradutor ou 
tradutor ou intérprete 
ou intérprete carrega 
intérprete carrega o 
carrega o código 
o código digitado 
código digitado e 
digitado e converte 
e converte as 
converte as instruções 
as instruções para 
instruções para que 
para que o 
que o programa 
o programa possa 
programa possa ser 
possa ser executado 
ser executado O 
executado O IDE 
O IDE ou 
IDE ou Entorno 
ou Entorno de 
Entorno de Desenvolvimento 
de Desenvolvimento Integrado 
Desenvolvimento Integrado é 
Integrado é um 
é um aplicativo 
um aplicativo de 
aplicativo de computador 
de computador que 
computador que fornece 
que fornece uma 
fornece uma série 
uma série de 
série de serviços 
de serviços que 
serviços que facilitam 
que facilitam a 
facilitam a programação 
a programação de 
programação de software 
de software como 
software como porque 
como porque não 
porque não haveria 
não haveria regras 
haveria regras semânticas 
regras semânticas e 
semânticas e sintáticas 
e sintáticas expressões 
sintáticas expressões como 
expressões como a 
como a estrutura 
a estrutura e 
estrutura e o 
e o significado 
o significado de 
significado de todos 
de todos os 
todos os elementos 
os elementos que 
elementos que as 
que as compõem 
as compõem ou 
compõem ou uma 
ou uma maneira 
uma maneira estabelecida 
maneira estabelecida de 
estabelecida de como 
de como programador 
como programador e 
programador e máquina 
e máquina deveriam 
máquina deveriam “ 
deveriam “ falar 
“ falar ” 
falar ” entre 
” entre si 
entre si Além 
si Além disso 
Além disso algumas 
disso algumas das 
algumas das funções 
das funções que 
funções que permitem 
que permitem ao 
permitem ao programador 
ao programador criar 
programador criar essa 
criar essa linguagem 
essa linguagem são 
linguagem são criar 
são criar um 
criar um site 
um site e 
site e fazêlo 
e fazêlo funcionar 
fazêlo funcionar desenvolver 
funcionar desenvolver aplicativos 
desenvolver aplicativos para 
aplicativos para sistemas 
para sistemas operacionais 
sistemas operacionais e 
operacionais e muitos 
e muitos outros 
muitos outros Atualmente 
outros Atualmente o 
Atualmente o conhecimento 
o conhecimento e 
conhecimento e o 
e o uso 
o uso do 
uso do mundo 
do mundo digital 
mundo digital e 
digital e computacional 
e computacional são 
computacional são duas 
são duas das 
duas das principais 
das principais armas 
principais armas de 
armas de qualquer 
de qualquer empresa 
qualquer empresa Por 
empresa Por isso 
Por isso e 
isso e muito 
e muito mais 
muito mais é 
mais é extremamente 
é extremamente importante 
extremamente importante que 
importante que você 
que você esteja 
você esteja na 
esteja na vanguarda 
na vanguarda e 
vanguarda e tenha 
e tenha fome 
tenha fome de 
fome de conhecimento 
de conhecimento Se 
conhecimento Se quiser 
Se quiser aprender 
quiser aprender mais 
aprender mais leia 
mais leia nosso 
leia nosso artigo 
nosso artigo sobre 
artigo sobre como 
sobre como usar 
como usar NGINX 
usar NGINX 100000 
NGINX 100000 pessoas 
100000 pessoas não 
pessoas não podem 
não podem estar 
podem estar enganadas 
estar enganadas Um 
enganadas Um guia 
Um guia para 
guia para fazer 
para fazer a 
fazer a implementação 
a implementação de 
implementação de sistemas 
de sistemas sem 
sistemas sem erros 
sem erros Economia 
erros Economia comportamental 
Economia comportamental a 
comportamental a chave 
a chave para 
chave para entender 
para entender como 
entender como sua 
como sua persona 
sua persona toma 
persona toma decisões 
toma decisões Como 
decisões Como evitar 
Como evitar e 
evitar e combater 
e combater o 
combater o esgotamento 
o esgotamento mental 
esgotamento mental TLS 
mental TLS e 
TLS e SSL 
e SSL saiba 
SSL saiba o 
saiba o que 
o que são 
que são estes 
são estes certificados 
estes certificados de 
certificados de segurança 
de segurança e 
segurança e suas 
e suas diferenças 
suas diferenças O 
diferenças O blog 
O blog Marketing 
blog Marketing de 
Marketing de Conteúdo 
de Conteúdo e 
Conteúdo e a 
e a Rock 
a Rock Content 
Rock Content ajudam 
Content ajudam centenas 
ajudam centenas de 
centenas de empresas 
de empresas a 
empresas a atingirem 
a atingirem seus 
atingirem seus objetivos 
seus objetivos de 
objetivos de marketing 
de marketing Português 
marketing Português Español 
Português Español Tudo 
Español Tudo Sobre 
Tudo Sobre Marketing 
Sobre Marketing Vendas 
Marketing Vendas SEO 
Vendas SEO Redes 
SEO Redes Sociais 
Redes Sociais Tech 
Sociais Tech Agências 
Tech Agências Gestão 
Agências Gestão Ecommerce 
Gestão Ecommerce Ebooks 
Ecommerce Ebooks Para 
Ebooks Para Download 
Para Download Ferramentas 
Download Ferramentas de 
Ferramentas de Marketing 
de Marketing Pesquisas 
Marketing Pesquisas Sobre 
Pesquisas Sobre Vagas 
Sobre Vagas em 
Vagas em Marketing 
em Marketing Cursos 
Marketing Cursos de 
Cursos de Marketing 
de Marketing Assinar 
Marketing Assinar RSS 
Assinar RSS Copyright 
RSS Copyright © 
Copyright © 20132020 
© 20132020 Rock 
20132020 Rock Content 
Rock Content Todos 
Content Todos os 
Todos os direitos 
os direitos reservados 
direitos reservados Feito 
reservados Feito com 
Feito com pelo 
com pelo time 
pelo time da 
time da Rock 
da Rock Content 
Rock Content no 
Content no SanPedroValley 

