Android Angular 
desta escolha 
escolha definirseá 
definirseá desde 
desde a 
a maneira 
maneira mais 
mais adequada 
adequada de 
de obter 
obter as 
as necessidades 
necessidades do 
do cliente 
cliente até 
até quando 
quando e 
e como 
como o 
o cliente 
cliente receberá 
receberá sua 
sua primeira 
primeira versão 
versão operacional 
operacional do 
do sistema 
sistema Não 
Não existe 
existe um 
um modelo 
modelo ideal 
ideal O 
O perfil 
perfil e 
e complexidade 
complexidade do 
do negócio 
negócio do 
do cliente 
cliente o 
o tempo 
tempo disponível 
disponível o 
o custo 
custo a 
a equipe 
equipe o 
o ambiente 
ambiente operacional 
operacional são 
são fatores 
fatores que 
que influenciarão 
influenciarão diretamente 
diretamente na 
na escolha 
escolha do 
do ciclo 
ciclo de 
de vida 
vida de 
de software 
software a 
a ser 
ser adotado 
adotado Da 
Da mesma 
mesma forma 
forma também 
também é 
é difícil 
difícil uma 
uma empresa 
empresa adotar 
adotar um 
um único 
único ciclo 
ciclo de 
de vida 
vida Na 
Na maior 
maior parte 
parte dos 
dos casos 
casos vêse 
vêse a 
a presença 
presença de 
de mais 
mais de 
de um 
um ciclo 
ciclo de 
de vida 
vida no 
no processo 
processo Os 
Os ciclos 
ciclos de 
de vida 
vida se 
se comportam 
comportam de 
de maneira 
maneira sequencial 
sequencial fases 
fases seguem 
seguem determinada 
determinada ordem 
ordem eou 
eou incremental 
incremental divisão 
divisão de 
de escopo 
escopo eou 
eou iterativa 
iterativa retroalimentação 
retroalimentação de 
de fases 
fases eou 
eou evolutiva 
evolutiva software 
software é 
é aprimorado 
aprimorado Neste 
Neste contexto 
contexto neste 
neste artigo 
artigo apresentaremos 
apresentaremos alguns 
alguns modelos 
modelos de 
de ciclo 
ciclo de 
de vida 
vida quais 
quais sejam 
sejam Formalizado 
Formalizado por 
por Royce 
Royce em 
em 1970 
1970 é 
é o 
o modelo 
modelo mais 
mais antigo 
antigo Suas 
Suas atividades 
atividades fundamentais 
fundamentais são 
são O 
O modelo 
modelo em 
em cascata 
cascata tem 
tem o 
o grande 
grande mérito 
mérito de 
de ser 
ser o 
o primeiro 
primeiro a 
a impor 
impor o 
o planejamento 
planejamento e 
e o 
o gerenciamento 
gerenciamento ao 
ao processo 
processo de 
de software 
software que 
que antes 
antes era 
era casual 
casual O 
O nome 
nome cascata 
cascata foi 
foi atribuído 
atribuído em 
em razão 
razão da 
da sequência 
sequência das 
das fases 
fases onde 
onde cada 
cada fase 
fase só 
só começa 
começa quando 
quando a 
a anterior 
anterior termina 
termina e 
e da 
da transmissão 
transmissão do 
do resultado 
resultado da 
da fase 
fase anterior 
anterior como 
como entrada 
entrada para 
para a 
a fase 
fase atual 
atual o 
o fim 
fim de 
de cada 
cada fase 
fase resulta 
resulta em 
em um 
um documento 
documento aprovado 
aprovado Nesse 
Nesse modelo 
modelo portanto 
portanto é 
é dada 
dada muita 
muita ênfase 
ênfase às 
às fases 
fases de 
de análise 
análise e 
e projeto 
projeto antes 
antes de 
de partir 
partir para 
para a 
a programação 
programação a 
a fim 
fim de 
de que 
que o 
o objetivo 
objetivo do 
do software 
software esteja 
esteja bem 
bem definido 
definido e 
e que 
que sejam 
sejam evitados 
evitados retrabalhos 
retrabalhos conforme 
conforme podemos 
podemos observar 
observar na 
na Devido 
Devido à 
à sua 
sua simplicidade 
simplicidade o 
o modelo 
modelo em 
em cascata 
cascata é 
é fácil 
fácil de 
de ser 
ser entendido 
entendido pelo 
pelo cliente 
cliente É 
É um 
um modelo 
modelo que 
que supõe 
supõe um 
um início 
início e 
e fim 
fim claro 
claro e 
e determinado 
determinado assim 
assim como 
como uma 
uma estimativa 
estimativa precisa 
precisa de 
de custo 
custo logo 
logo no 
no início 
início fatores 
fatores importantes 
importantes na 
na conquista 
conquista do 
do cliente 
cliente O 
O problema 
problema se 
se dá 
dá depois 
depois quando 
quando o 
o cliente 
cliente após 
após esperar 
esperar até 
até o 
o fim 
fim do 
do processo 
processo para 
para receber 
receber a 
a primeira 
primeira versão 
versão do 
do sistema 
sistema pode 
pode não 
não concordar 
concordar com 
com ela 
ela Apesar 
Apesar de 
de cada 
cada fase 
fase terminar 
terminar com 
com uma 
uma documentação 
documentação aprovada 
aprovada certamente 
certamente haverá 
haverá lacunas 
lacunas devido 
devido a 
a requisitos 
requisitos mal 
mal descritos 
descritos pelo 
pelo cliente 
cliente mal 
mal entendido 
entendido pelo 
pelo analista 
analista ou 
ou por 
por mudança 
mudança de 
de cenário 
cenário na 
na organização 
organização que 
que exija 
exija adaptação 
adaptação de 
de requisitos 
requisitos O 
O modelo 
modelo em 
em cascata 
cascata não 
não prevê 
prevê revisão 
revisão de 
de fases 
fases Assim 
Assim o 
o risco 
risco é 
é muito 
muito alto 
alto principalmente 
principalmente para 
para sistemas 
sistemas complexos 
complexos de 
de grande 
grande porte 
porte afinal 
afinal o 
o modelo 
modelo em 
em cascata 
cascata pressupõe 
pressupõe uma 
uma realidade 
realidade estática 
estática e 
e bem 
bem conhecida 
conhecida comparado 
comparado a 
a uma 
uma linha 
linha de 
de produção 
produção fabril 
fabril Mas 
Mas a 
a rotina 
rotina do 
do negócio 
negócio do 
do cliente 
cliente não 
não reflete 
reflete isso 
isso Manipulação 
Manipulação de 
de usuários 
usuários com 
com diferentes 
diferentes habilidades 
habilidades ambientes 
ambientes operacionais 
operacionais distintos 
distintos tecnologia 
tecnologia em 
em crescente 
crescente evolução 
evolução necessidade 
necessidade de 
de integração 
integração com 
com outros 
outros sistemas 
sistemas em 
em plataformas 
plataformas antigas 
antigas ou 
ou mais 
mais novas 
novas mudanças 
mudanças organizacionais 
organizacionais até 
até mudanças 
mudanças na 
na legislação 
legislação do 
do municípioestadopaís 
municípioestadopaís pedem 
pedem um 
um modelo 
modelo mais 
mais flexível 
flexível Por 
Por outro 
outro lado 
lado o 
o modelo 
modelo em 
em cascata 
cascata adéquase 
adéquase bem 
bem como 
como um 
um submodelo 
submodelo para 
para outros 
outros modelos 
modelos Por 
Por exemplo 
exemplo no 
no modelo 
modelo cascata 
cascata com 
com realimentação 
realimentação permitese 
permitese que 
que a 
a cada 
cada descoberta 
descoberta da 
da fase 
fase posterior 
posterior haja 
haja uma 
uma correção 
correção da 
da fase 
fase anterior 
anterior Neste 
Neste modelo 
modelo do 
do Ministério 
Ministério de 
de Defesa 
Defesa da 
da Alemanha 
Alemanha 1992 
1992 o 
o modelo 
modelo em 
em cascata 
cascata é 
é colocado 
colocado em 
em forma 
forma de 
de V 
V Do 
Do lado 
lado esquerdo 
esquerdo do 
do V 
V ficam 
ficam da 
da análise 
análise de 
de requisitos 
requisitos até 
até o 
o projeto 
projeto a 
a codificação 
codificação fica 
fica no 
no vértice 
vértice e 
e os 
os testes 
testes desenvolvimento 
desenvolvimento implantação 
implantação e 
e manutenção 
manutenção à 
à direita 
direita conforme 
conforme A 
A característica 
característica principal 
principal desse 
desse modelo 
modelo que 
que o 
o diferencia 
diferencia do 
do modelo 
modelo em 
em cascata 
cascata é 
é a 
a ênfase 
ênfase dada 
dada à 
à verificação 
verificação e 
e validação 
validação cada 
cada fase 
fase do 
do lado 
lado esquerdo 
esquerdo gera 
gera um 
um plano 
plano de 
de teste 
teste a 
a ser 
ser executado 
executado no 
no lado 
lado direito 
direito Mais 
Mais tarde 
tarde o 
o código 
código fonte 
fonte será 
será testado 
testado do 
do mais 
mais baixo 
baixo nível 
nível ao 
ao nível 
nível sistêmico 
sistêmico para 
para confirmar 
confirmar os 
os resultados 
resultados seguindo 
seguindo os 
os respectivos 
respectivos planos 
planos de 
de teste 
teste o 
o teste 
teste de 
de unidade 
unidade valida 
valida o 
o projeto 
projeto do 
do programa 
programa o 
o teste 
teste de 
de sistema 
sistema valida 
valida o 
o projeto 
projeto de 
de sistema 
sistema e 
e o 
o teste 
teste de 
de aceitação 
aceitação do 
do cliente 
cliente valida 
valida a 
a análise 
análise de 
de requisitos 
requisitos Da 
Da mesma 
mesma forma 
forma que 
que o 
o modelo 
modelo em 
em cascata 
cascata o 
o cliente 
cliente só 
só recebe 
recebe a 
a primeira 
primeira versão 
versão do 
do software 
software no 
no final 
final do 
do ciclo 
ciclo mas 
mas apresenta 
apresenta menos 
menos risco 
risco devido 
devido ao 
ao planejamento 
planejamento prévio 
prévio dos 
dos testes 
testes nas 
nas fases 
fases de 
de análise 
análise e 
e projeto 
projeto Neste 
Neste modelo 
modelo de 
de Mills 
Mills em 
em 1980 
1980 os 
os requisitos 
requisitos do 
do cliente 
cliente são 
são obtidos 
obtidos e 
e de 
de acordo 
acordo com 
com a 
a funcionalidade 
funcionalidade são 
são agrupados 
agrupados em 
em módulos 
módulos Após 
Após este 
este agrupamento 
agrupamento a 
a equipe 
equipe junto 
junto ao 
ao cliente 
cliente define 
define a 
a prioridade 
prioridade em 
em que 
que cada 
cada módulo 
módulo será 
será desenvolvido 
desenvolvido escolha 
escolha baseada 
baseada na 
na importância 
importância daquela 
daquela funcionalidade 
funcionalidade ao 
ao negócio 
negócio do 
do cliente 
cliente Cada 
Cada módulo 
módulo passará 
passará por 
por todas 
todas as 
as fases 
fases cascata 
cascata de 
de projeto 
projeto conforme 
conforme se 
se observa 
observa na 
na e 
e será 
será entregue 
entregue ao 
ao cliente 
cliente um 
um software 
software operacional 
operacional Assim 
Assim o 
o cliente 
cliente receberá 
receberá parte 
parte do 
do produto 
produto final 
final em 
em menos 
menos tempo 
tempo Como 
Como o 
o cliente 
cliente já 
já trabalhará 
trabalhará no 
no primeiro 
primeiro incremento 
incremento ou 
ou módulo 
módulo é 
é muito 
muito importante 
importante que 
que haja 
haja uma 
uma especial 
especial atenção 
atenção na 
na integração 
integração dos 
dos incrementos 
incrementos o 
o que 
que exige 
exige muito 
muito planejamento 
planejamento afinal 
afinal não 
não é 
é aceitável 
aceitável que 
que o 
o cliente 
cliente se 
se depare 
depare com 
com muitos 
muitos erros 
erros de 
de software 
software a 
a cada 
cada incremento 
incremento tampouco 
tampouco que 
que a 
a cada 
cada incremento 
incremento ele 
ele precise 
precise se 
se readaptar 
readaptar a 
a grandes 
grandes mudanças 
mudanças Uma 
Uma atenção 
atenção especial 
especial deve 
deve ser 
ser dada 
dada ao 
ao agrupamento 
agrupamento dos 
dos requisitos 
requisitos e 
e à 
à qualidade 
qualidade no 
no desenvolvimento 
desenvolvimento das 
das funções 
funções comuns 
comuns a 
a todo 
todo o 
o sistema 
sistema que 
que inevitavelmente 
inevitavelmente deverão 
deverão ser 
ser entregues 
entregues no 
no primeiro 
primeiro incremento 
incremento Desta 
Desta forma 
forma além 
além de 
de atender 
atender as 
as necessidades 
necessidades mais 
mais críticas 
críticas do 
do cliente 
cliente mais 
mais cedo 
cedo as 
as partes 
partes mais 
mais importantes 
importantes serão 
serão também 
também as 
as partes 
partes mais 
mais testadas 
testadas no 
no ambiente 
ambiente real 
real Será 
Será mais 
mais difícil 
difícil gastar 
gastar recursos 
recursos em 
em conceitos 
conceitos errados 
errados ou 
ou que 
que um 
um mau 
mau entendimento 
entendimento dos 
dos requisitos 
requisitos alcance 
alcance uma 
uma escala 
escala difícil 
difícil de 
de ser 
ser ajustada 
ajustada visto 
visto que 
que durante 
durante todo 
todo o 
o projeto 
projeto haverá 
haverá o 
o feedback 
feedback do 
do cliente 
cliente a 
a opinião 
opinião do 
do cliente 
cliente realimenta 
realimenta o 
o sistema 
sistema Esse 
Esse ciclo 
ciclo de 
de vida 
vida não 
não exige 
exige uma 
uma equipe 
equipe muito 
muito grande 
grande pois 
pois a 
a modularização 
modularização diminui 
diminui o 
o escopo 
escopo de 
de cada 
cada incremento 
incremento e 
e não 
não há 
há um 
um paralelismo 
paralelismo nas 
nas atividades 
atividades Haverá 
Haverá por 
por outro 
outro lado 
lado uma 
uma dificuldade 
dificuldade em 
em manter 
manter a 
a documentação 
documentação de 
de cada 
cada fase 
fase atualizada 
atualizada devido 
devido às 
às melhorias 
melhorias no 
no sistema 
sistema e 
e aos 
aos ajustes 
ajustes de 
de requisitos 
requisitos solicitados 
solicitados pelos 
pelos clientes 
clientes Neste 
Neste modelo 
modelo os 
os requisitos 
requisitos são 
são adquiridos 
adquiridos em 
em paralelo 
paralelo à 
à evolução 
evolução do 
do sistema 
sistema O 
O modelo 
modelo evolutivo 
evolutivo parte 
parte do 
do princípio 
princípio que 
que o 
o cliente 
cliente não 
não expõe 
expõe todos 
todos os 
os requisitos 
requisitos ou 
ou os 
os requisitos 
requisitos não 
não são 
são tão 
tão bem 
bem conhecidos 
conhecidos ou 
ou os 
os requisitos 
requisitos ainda 
ainda estão 
estão sofrendo 
sofrendo mudanças 
mudanças Desta 
Desta forma 
forma a 
a análise 
análise é 
é feita 
feita em 
em cima 
cima dos 
dos requisitos 
requisitos conseguidos 
conseguidos até 
até então 
então e 
e a 
a primeira 
primeira versão 
versão é 
é entregue 
entregue ao 
ao cliente 
cliente O 
O cliente 
cliente usa 
usa o 
o software 
software no 
no seu 
seu ambiente 
ambiente operacional 
operacional e 
e como 
como feedback 
feedback esclarece 
esclarece o 
o que 
que não 
não foi 
foi bem 
bem entendido 
entendido e 
e dá 
dá mais 
mais informações 
informações sobre 
sobre o 
o que 
que precisa 
precisa e 
e sobre 
sobre o 
o que 
que deseja 
deseja ou 
ou seja 
seja mais 
mais requisitos 
requisitos A 
A partir 
partir deste 
deste feedback 
feedback nova 
nova análise 
análise projeto 
projeto e 
e desenvolvimento 
desenvolvimento são 
são realizados 
realizados e 
e uma 
uma segunda 
segunda versão 
versão do 
do software 
software é 
é entregue 
entregue ao 
ao cliente 
cliente que 
que novamente 
novamente retorna 
retorna com 
com mais 
mais feedbacks 
feedbacks Assim 
Assim o 
o software 
software vai 
vai evoluindo 
evoluindo se 
se tornando 
tornando mais 
mais completo 
completo até 
até atender 
atender todas 
todas as 
as necessidades 
necessidades do 
do cliente 
cliente dentro 
dentro do 
do escopo 
escopo estabelecido 
estabelecido Temse 
Temse assim 
assim a 
a versão 
versão final 
final pelo 
pelo menos 
menos até 
até novos 
novos requisitos 
requisitos aparecerem 
aparecerem ver 
ver A 
A participação 
participação constante 
constante do 
do cliente 
cliente é 
é uma 
uma grande 
grande vantagem 
vantagem desse 
desse modelo 
modelo o 
o que 
que diminui 
diminui o 
o risco 
risco de 
de má 
má interpretação 
interpretação de 
de requisitos 
requisitos dos 
dos modelos 
modelos que 
que só 
só oferecem 
oferecem a 
a primeira 
primeira versão 
versão do 
do software 
software no 
no final 
final do 
do processo 
processo Da 
Da mesma 
mesma forma 
forma o 
o software 
software já 
já atende 
atende algumas 
algumas necessidades 
necessidades do 
do cliente 
cliente muito 
muito mais 
mais cedo 
cedo no 
no processo 
processo Não 
Não é 
é dada 
dada muita 
muita ênfase 
ênfase à 
à documentação 
documentação pois 
pois a 
a geração 
geração de 
de versões 
versões torna 
torna este 
este trabalho 
trabalho muito 
muito árduo 
árduo Além 
Além disso 
disso como 
como a 
a análise 
análise de 
de requisitos 
requisitos e 
e desenvolvimento 
desenvolvimento estão 
estão sempre 
sempre acontecendo 
acontecendo a 
a preocupação 
preocupação em 
em documentar 
documentar todo 
todo o 
o processo 
processo pode 
pode fazer 
fazer com 
com que 
que haja 
haja atrasos 
atrasos na 
na entrega 
entrega Há 
Há uma 
uma alta 
alta necessidade 
necessidade de 
de gerenciamento 
gerenciamento nesse 
nesse tipo 
tipo de 
de modelo 
modelo pois 
pois a 
a falta 
falta de 
de documentação 
documentação adequada 
adequada o 
o escopo 
escopo de 
de requisitos 
requisitos não 
não determinado 
determinado o 
o software 
software crescendo 
crescendo e 
e estando 
estando ao 
ao mesmo 
mesmo tempo 
tempo em 
em produção 
produção podem 
podem ter 
ter consequências 
consequências negativas 
negativas Seguem 
Seguem alguns 
alguns exemplos 
exemplos o 
o sistema 
sistema nunca 
nunca terminar 
terminar pois 
pois o 
o cliente 
cliente sempre 
sempre pede 
pede uma 
uma alteração 
alteração o 
o sistema 
sistema não 
não ter 
ter uma 
uma estrutura 
estrutura robusta 
robusta a 
a falhas 
falhas nem 
nem propícia 
propícia a 
a uma 
uma fácil 
fácil manutenção 
manutenção pelas 
pelas constantes 
constantes alterações 
alterações o 
o cliente 
cliente mudar 
mudar de 
de ideia 
ideia radicalmente 
radicalmente entre 
entre uma 
uma versão 
versão e 
e outra 
outra ou 
ou revelar 
revelar um 
um requisito 
requisito que 
que exija 
exija uma 
uma versão 
versão bem 
bem diferente 
diferente da 
da anterior 
anterior fazendo 
fazendo com 
com que 
que toda 
toda a 
a base 
base de 
de dados 
dados ou 
ou de 
de programação 
programação precise 
precise ser 
ser revista 
revista Os 
Os citados 
citados problemas 
problemas podem 
podem implicar 
implicar em 
em um 
um grande 
grande ônus 
ônus financeiro 
financeiro e 
e de 
de tempo 
tempo É 
É muito 
muito importante 
importante que 
que o 
o cliente 
cliente esteja 
esteja ciente 
ciente do 
do que 
que se 
se trata 
trata este 
este ciclo 
ciclo de 
de vida 
vida e 
e que 
que sejam 
sejam esclarecidos 
esclarecidos os 
os limites 
limites de 
de escopo 
escopo e 
e de 
de tempo 
tempo para 
para que 
que não 
não haja 
haja frustrações 
frustrações de 
de expectativas 
expectativas Este 
Este modelo 
modelo formalizado 
formalizado por 
por James 
James Martin 
Martin em 
em 1991 
1991 como 
como uma 
uma evolução 
evolução da 
da prototipagem 
prototipagem rápida 
rápida destacase 
destacase pelo 
pelo desenvolvimento 
desenvolvimento rápido 
rápido da 
da aplicação 
aplicação O 
O ciclo 
ciclo de 
de vida 
vida é 
é extremamente 
extremamente comprimido 
comprimido de 
de forma 
forma a 
a encontraremse 
encontraremse exemplos 
exemplos na 
na literatura 
literatura de 
de duração 
duração de 
de 60 
60 e 
e 90 
90 dias 
dias É 
É ideal 
ideal para 
para clientes 
clientes buscando 
buscando lançar 
lançar soluções 
soluções pioneiras 
pioneiras no 
no mercado 
mercado É 
É um 
um ciclo 
ciclo de 
de vida 
vida incremental 
incremental iterativo 
iterativo onde 
onde é 
é preferível 
preferível que 
que os 
os requisitos 
requisitos tenham 
tenham escopo 
escopo restrito 
restrito A 
A diferença 
diferença principal 
principal do 
do ciclo 
ciclo anterior 
anterior é 
é o 
o forte 
forte paralelismo 
paralelismo das 
das atividades 
atividades requerendo 
requerendo assim 
assim módulos 
módulos bastante 
bastante independentes 
independentes Aqui 
Aqui os 
os incrementos 
incrementos são 
são desenvolvidos 
desenvolvidos ao 
ao mesmo 
mesmo tempo 
tempo por 
por equipes 
equipes diferentes 
diferentes Além 
Além do 
do paralelismo 
paralelismo a 
a conquista 
conquista do 
do baixo 
baixo tempo 
tempo se 
se dá 
dá graças 
graças à 
à compressão 
compressão da 
da fase 
fase de 
de requisitos 
requisitos e 
e da 
da fase 
fase de 
de implantação 
implantação Isso 
Isso significa 
significa que 
que na 
na obtenção 
obtenção dos 
dos requisitos 
requisitos costumamse 
costumamse optar 
optar por 
por metodologias 
metodologias mais 
mais dinâmicas 
dinâmicas e 
e rápidas 
rápidas como 
como workshops 
workshops ao 
ao invés 
invés de 
de entrevistas 
entrevistas Permitese 
Permitese também 
também um 
um desenvolvimento 
desenvolvimento inicial 
inicial no 
no nível 
nível mais 
mais alto 
alto de 
de abstração 
abstração dos 
dos requisitos 
requisitos visto 
visto o 
o envolvimento 
envolvimento maior 
maior do 
do usuário 
usuário e 
e visibilidade 
visibilidade mais 
mais cedo 
cedo dos 
dos protótipos 
protótipos ver 
ver As 
As fábricas 
fábricas de 
de software 
software que 
que resolvem 
resolvem por 
por adotar 
adotar este 
este modelo 
modelo devem 
devem ter 
ter uma 
uma estrutura 
estrutura prévia 
prévia diferencial 
diferencial de 
de pessoas 
pessoas e 
e ferramentas 
ferramentas tais 
tais como 
como Os 
Os sistemas 
sistemas desenvolvidos 
desenvolvidos no 
no ciclo 
ciclo RAD 
RAD tendem 
tendem a 
a ter 
ter uma 
uma padronização 
padronização de 
de telas 
telas muito 
muito forte 
forte devido 
devido a 
a bibliotecas 
bibliotecas reutilizáveis 
reutilizáveis e 
e templates 
templates porém 
porém tendem 
tendem a 
a perder 
perder em 
em desempenho 
desempenho do 
do sistema 
sistema e 
e na 
na análise 
análise de 
de risco 
risco atividades 
atividades estas 
estas que 
que demandam 
demandam tempo 
tempo em 
em qualquer 
qualquer projeto 
projeto Assim 
Assim é 
é preferível 
preferível seu 
seu uso 
uso para 
para softwares 
softwares de 
de distribuição 
distribuição pequena 
pequena Prototipagem 
Prototipagem é 
é a 
a construção 
construção de 
de um 
um exemplar 
exemplar do 
do que 
que foi 
foi entendido 
entendido dos 
dos requisitos 
requisitos capturados 
capturados do 
do cliente 
cliente Pode 
Pode ser 
ser considerado 
considerado um 
um ciclo 
ciclo de 
de vida 
vida ou 
ou pode 
pode ser 
ser usado 
usado como 
como ferramenta 
ferramenta em 
em outros 
outros ciclos 
ciclos de 
de vida 
vida Um 
Um protótipo 
protótipo em 
em engenharia 
engenharia de 
de software 
software pode 
pode ser 
ser o 
o desenho 
desenho de 
de uma 
uma tela 
tela um 
um software 
software contendo 
contendo algumas 
algumas funcionalidades 
funcionalidades do 
do sistema 
sistema São 
São considerados 
considerados operacionais 
operacionais quando 
quando já 
já podem 
podem ser 
ser utilizados 
utilizados pelo 
pelo cliente 
cliente no 
no ambiente 
ambiente real 
real ou 
ou seja 
seja em 
em produção 
produção ou 
ou não 
não operacionais 
operacionais não 
não estão 
estão aptos 
aptos para 
para serem 
serem utilizados 
utilizados em 
em produção 
produção Os 
Os protótipos 
protótipos podem 
podem ser 
ser descartados 
descartados ou 
ou reaproveitados 
reaproveitados para 
para evoluírem 
evoluírem até 
até a 
a versão 
versão final 
final No 
No ciclo 
ciclo de 
de vida 
vida de 
de prototipagem 
prototipagem não 
não é 
é exigido 
exigido um 
um conhecimento 
conhecimento aprofundado 
aprofundado dos 
dos requisitos 
requisitos num 
num primeiro 
primeiro momento 
momento Isso 
Isso é 
é bastante 
bastante útil 
útil quando 
quando os 
os requisitos 
requisitos não 
não são 
são totalmente 
totalmente conhecidos 
conhecidos são 
são muitos 
muitos complexos 
complexos ou 
ou confusos 
confusos Desta 
Desta forma 
forma se 
se o 
o cliente 
cliente não 
não sabe 
sabe expressar 
expressar o 
o que 
que deseja 
deseja o 
o que 
que ocorre 
ocorre bastante 
bastante quando 
quando não 
não é 
é um 
um sistema 
sistema legado 
legado a 
a melhor 
melhor maneira 
maneira de 
de evitar 
evitar que 
que se 
se perca 
perca tempo 
tempo e 
e recursos 
recursos com 
com uma 
uma má 
má interpretação 
interpretação é 
é a 
a construção 
construção de 
de modelos 
modelos ou 
ou seja 
seja de 
de protótipos 
protótipos do 
do que 
que o 
o software 
software faria 
faria Assim 
Assim o 
o cliente 
