Skip to content 
as soluções desenvolvidas 
soluções desenvolvidas é 
desenvolvidas é essencial 
é essencial que 
essencial que você 
que você saiba 
você saiba um 
saiba um pouco 
um pouco mais 
pouco mais sobre 
mais sobre cada 
sobre cada um 
cada um dos 
um dos existentes 
dos existentes Leia 
existentes Leia um 
Leia um pouco 
um pouco mais 
pouco mais sobre 
mais sobre as 
sobre as principais 
as principais opções 
principais opções disponíveis 
opções disponíveis Criado 
disponíveis Criado em 
Criado em 2005 
em 2005 alcançou 
2005 alcançou fama 
alcançou fama rapidamente 
fama rapidamente principalmente 
rapidamente principalmente pelo 
principalmente pelo apoio 
pelo apoio dado 
apoio dado por 
dado por empresas 
por empresas como 
empresas como Google 
como Google e 
Google e Microsoft 
e Microsoft É 
Microsoft É um 
É um dos 
um dos frameworks 
dos frameworks mais 
frameworks mais atualizados 
mais atualizados e 
atualizados e consistentes 
e consistentes do 
consistentes do mercado 
do mercado Não 
mercado Não é 
Não é um 
é um modelo 
um modelo simples 
modelo simples de 
simples de forma 
de forma que 
forma que tende 
que tende a 
tende a ser 
a ser mais 
ser mais indicado 
mais indicado para 
indicado para os 
para os projetos 
os projetos mais 
projetos mais robustos 
mais robustos É 
robustos É considerado 
É considerado um 
considerado um dos 
um dos frameworks 
dos frameworks PHP 
frameworks PHP mais 
PHP mais utilizados 
mais utilizados no 
utilizados no mercado 
no mercado atualmente 
mercado atualmente Isso 
atualmente Isso se 
Isso se deve 
se deve principalmente 
deve principalmente por 
principalmente por ter 
por ter um 
ter um caráter 
um caráter robusto 
caráter robusto e 
robusto e extremamente 
e extremamente versátil 
extremamente versátil Lançado 
versátil Lançado em 
Lançado em 2011 
em 2011 tem 
2011 tem se 
tem se tornado 
se tornado extremamente 
tornado extremamente popular 
extremamente popular ao 
popular ao longo 
ao longo dos 
longo dos últimos 
dos últimos anos 
últimos anos Há 
anos Há diversos 
Há diversos tutoriais 
diversos tutoriais e 
tutoriais e vídeos 
e vídeos o 
vídeos o que 
o que ajuda 
que ajuda os 
ajuda os programadores 
os programadores iniciantes 
programadores iniciantes a 
iniciantes a aprenderem 
a aprenderem a 
aprenderem a trabalhar 
a trabalhar com 
trabalhar com esse 
com esse framework 
esse framework Conta 
framework Conta também 
Conta também com 
também com o 
com o Laracasts 
o Laracasts que 
Laracasts que ensina 
que ensina aqueles 
ensina aqueles que 
aqueles que não 
que não estão 
não estão habituados 
estão habituados com 
habituados com as 
com as peculiaridades 
as peculiaridades da 
peculiaridades da plataforma 
da plataforma auxiliando 
plataforma auxiliando tanto 
auxiliando tanto os 
tanto os que 
os que estejam 
que estejam começando 
estejam começando quanto 
começando quanto os 
quanto os mais 
os mais experientes 
mais experientes Ele 
experientes Ele é 
Ele é adaptável 
é adaptável para 
adaptável para os 
para os mais 
os mais diferentes 
mais diferentes tipos 
diferentes tipos de 
tipos de projeto 
de projeto facilitando 
projeto facilitando desde 
facilitando desde os 
desde os mais 
os mais simples 
mais simples como 
simples como os 
como os mais 
os mais robustos 
mais robustos atendendo 
robustos atendendo aos 
atendendo aos mais 
aos mais diferentes 
mais diferentes processos 
diferentes processos Esse 
processos Esse modelo 
Esse modelo foi 
modelo foi lançado 
foi lançado em 
lançado em 2005 
em 2005 e 
2005 e utiliza 
e utiliza a 
utiliza a arquitetura 
a arquitetura MVC 
arquitetura MVC O 
MVC O Symfony 
O Symfony foi 
Symfony foi arquitetado 
foi arquitetado justamente 
arquitetado justamente para 
justamente para trabalhar 
para trabalhar de 
trabalhar de forma 
de forma colaborativa 
forma colaborativa com 
colaborativa com outras 
com outras metodologias 
outras metodologias ágeis 
metodologias ágeis de 
ágeis de desenvolvimento 
de desenvolvimento de 
desenvolvimento de soluções 
de soluções Ele 
soluções Ele foca 
Ele foca essencialmente 
foca essencialmente em 
essencialmente em regras 
em regras de 
regras de negócio 
de negócio da 
negócio da aplicação 
da aplicação Normalmente 
aplicação Normalmente é 
Normalmente é indicado 
é indicado em 
indicado em trabalhos 
em trabalhos de 
trabalhos de grande 
de grande escala 
grande escala e 
escala e mais 
e mais robustos 
mais robustos Foi 
robustos Foi criado 
Foi criado em 
criado em 2012 
em 2012 e 
2012 e tem 
e tem crescido 
tem crescido exponencialmente 
crescido exponencialmente na 
exponencialmente na área 
na área de 
área de desenvolvimento 
de desenvolvimento Isso 
desenvolvimento Isso traz 
Isso traz uma 
traz uma vantagem 
uma vantagem importante 
vantagem importante sua 
importante sua comunidade 
sua comunidade ativa 
comunidade ativa auxilia 
ativa auxilia a 
auxilia a encontrar 
a encontrar os 
encontrar os erros 
os erros e 
erros e bugs 
e bugs disponíveis 
bugs disponíveis no 
disponíveis no código 
no código do 
código do framework 
do framework bem 
framework bem como 
bem como tirar 
como tirar dúvidas 
tirar dúvidas dos 
dúvidas dos demais 
dos demais programadores 
demais programadores Outro 
programadores Outro ponto 
Outro ponto é 
ponto é a 
é a facilidade 
a facilidade em 
facilidade em ter 
em ter versões 
ter versões traduzidas 
versões traduzidas para 
traduzidas para diversos 
para diversos idiomas 
diversos idiomas logo 
idiomas logo depois 
logo depois de 
depois de serem 
de serem lançadas 
serem lançadas já 
lançadas já que 
já que a 
que a própria 
a própria comunidade 
própria comunidade realiza 
comunidade realiza esse 
realiza esse trabalho 
esse trabalho Uma 
trabalho Uma de 
Uma de suas 
de suas principais 
suas principais vantagens 
principais vantagens é 
vantagens é ser 
é ser um 
ser um dos 
um dos frameworks 
dos frameworks mais 
frameworks mais ágeis 
mais ágeis atualmente 
ágeis atualmente bem 
atualmente bem como 
bem como é 
como é escrito 
é escrito em 
escrito em C 
em C diferentemente 
C diferentemente dos 
diferentemente dos demais 
dos demais cuja 
demais cuja maioria 
cuja maioria é 
maioria é criada 
é criada em 
criada em PHP 
em PHP Foi 
PHP Foi lançado 
Foi lançado em 
lançado em 2005 
em 2005 e 
2005 e seu 
e seu objetivo 
seu objetivo é 
objetivo é simplificar 
é simplificar o 
simplificar o processo 
o processo de 
processo de desenvolvimento 
de desenvolvimento para 
desenvolvimento para quem 
para quem utiliza 
quem utiliza a 
utiliza a linguagem 
a linguagem PHP 
linguagem PHP facilitando 
PHP facilitando o 
facilitando o trabalho 
o trabalho tanto 
trabalho tanto para 
tanto para os 
para os iniciantes 
os iniciantes quanto 
iniciantes quanto para 
quanto para os 
para os avançados 
os avançados Também 
avançados Também contém 
Também contém mecanismos 
contém mecanismos para 
mecanismos para trabalhar 
para trabalhar com 
trabalhar com JavaScript 
com JavaScript Ajax 
JavaScript Ajax entre 
Ajax entre outros 
entre outros É 
outros É bastante 
É bastante útil 
bastante útil pois 
útil pois trabalha 
pois trabalha em 
trabalha em cima 
em cima da 
cima da arquitetura 
da arquitetura MVC 
arquitetura MVC o 
MVC o que 
o que também 
que também possibilita 
também possibilita a 
possibilita a criação 
a criação de 
criação de projetos 
de projetos dos 
projetos dos mais 
dos mais diversos 
mais diversos portes 
diversos portes O 
portes O principal 
O principal benefício 
principal benefício desse 
benefício desse recurso 
desse recurso é 
recurso é sua 
é sua capacidade 
sua capacidade de 
capacidade de economizar 
de economizar tempo 
economizar tempo no 
tempo no desenvolvimento 
no desenvolvimento de 
desenvolvimento de softwares 
de softwares Isso 
softwares Isso é 
Isso é possível 
é possível porque 
possível porque há 
porque há a 
há a reutilização 
a reutilização de 
reutilização de códigos 
de códigos já 
códigos já testados 
já testados que 
testados que se 
que se mostraram 
se mostraram eficazes 
mostraram eficazes Apresentamos 
eficazes Apresentamos a 
Apresentamos a seguir 
a seguir outros 
seguir outros motivos 
outros motivos para 
motivos para usálo 
para usálo em 
usálo em projetos 
em projetos de 
projetos de desenvolvimento 
de desenvolvimento Como 
desenvolvimento Como já 
Como já passou 
já passou por 
passou por diversos 
por diversos testes 
diversos testes o 
testes o código 
o código de 
código de um 
de um framework 
um framework geralmente 
framework geralmente já 
geralmente já está 
já está sem 
está sem bugs 
sem bugs graves 
bugs graves E 
graves E isso 
E isso se 
isso se aplica 
se aplica principalmente 
aplica principalmente aos 
principalmente aos de 
aos de maior 
de maior porte 
maior porte que 
porte que têm 
que têm uma 
têm uma comunidade 
uma comunidade voltada 
comunidade voltada para 
voltada para reportar 
para reportar erros 
reportar erros e 
erros e corrigilos 
e corrigilos Com 
corrigilos Com isso 
Com isso ao 
isso ao aplicar 
ao aplicar uma 
aplicar uma estrutura 
uma estrutura como 
estrutura como essa 
como essa ao 
essa ao projeto 
ao projeto há 
projeto há menor 
há menor preocupação 
menor preocupação com 
preocupação com erros 
com erros de 
erros de implementação 
de implementação Isso 
implementação Isso naturalmente 
Isso naturalmente representa 
naturalmente representa um 
representa um aumento 
um aumento na 
aumento na qualidade 
na qualidade de 
qualidade de código 
de código do 
código do sistema 
do sistema A 
sistema A maioria 
A maioria dos 
maioria dos frameworks 
dos frameworks de 
frameworks de grande 
de grande porte 
grande porte tem 
porte tem um 
tem um registro 
um registro extenso 
registro extenso de 
extenso de documentação 
de documentação o 
documentação o que 
o que facilita 
que facilita muito 
facilita muito o 
muito o aprendizado 
o aprendizado por 
aprendizado por parte 
por parte dos 
parte dos desenvolvedores 
dos desenvolvedores Esse 
desenvolvedores Esse material 
Esse material ajuda 
material ajuda os 
ajuda os profissionais 
os profissionais a 
profissionais a conhecerem 
a conhecerem melhor 
conhecerem melhor as 
melhor as funções 
as funções e 
funções e a 
e a forma 
a forma de 
forma de utilizálas 
de utilizálas Além 
utilizálas Além disso 
Além disso praticamente 
disso praticamente todos 
praticamente todos os 
todos os frameworks 
os frameworks têm 
frameworks têm uma 
têm uma comunidade 
uma comunidade específica 
comunidade específica que 
específica que trabalha 
que trabalha quase 
trabalha quase que 
quase que exclusivamente 
que exclusivamente com 
exclusivamente com a 
com a solução 
a solução de 
solução de problemas 
de problemas e 
problemas e cria 
e cria fóruns 
cria fóruns de 
fóruns de suporte 
de suporte para 
suporte para auxiliar 
para auxiliar os 
auxiliar os usuários 
os usuários Para 
usuários Para que 
Para que haja 
que haja compatibilidade 
haja compatibilidade o 
compatibilidade o desenvolvedor 
o desenvolvedor deve 
desenvolvedor deve seguir 
deve seguir o 
seguir o mesmo 
o mesmo padrão 
mesmo padrão de 
padrão de codificação 
de codificação usado 
codificação usado pelo 
usado pelo framework 
pelo framework Isso 
framework Isso contribui 
Isso contribui para 
contribui para que 
para que o 
que o código 
o código seja 
código seja mais 
seja mais legível 
mais legível e 
legível e assim 
e assim torna 
assim torna a 
torna a manutenção 
a manutenção mais 
manutenção mais fácil 
mais fácil Com 
fácil Com isso 
Com isso garantese 
isso garantese que 
garantese que todos 
que todos os 
todos os desenvolvedores 
os desenvolvedores envolvidos 
desenvolvedores envolvidos no 
envolvidos no projeto 
no projeto utilizarão 
projeto utilizarão o 
utilizarão o mesmo 
o mesmo padrão 
mesmo padrão Então 
padrão Então qualquer 
Então qualquer profissional 
qualquer profissional que 
profissional que trabalhe 
que trabalhe posteriormente 
trabalhe posteriormente nos 
posteriormente nos códigos 
nos códigos vai 
códigos vai entender 
vai entender a 
entender a lógica 
a lógica do 
lógica do sistema 
do sistema para 
sistema para fazer 
para fazer manutenções 
fazer manutenções e 
manutenções e alterações 
e alterações Uma 
alterações Uma das 
Uma das principais 
das principais vantagens 
principais vantagens da 
vantagens da adoção 
da adoção de 
adoção de frameworks 
de frameworks em 
frameworks em projetos 
em projetos de 
projetos de desenvolvimento 
de desenvolvimento de 
desenvolvimento de software 
de software é 
software é a 
é a redução 
a redução significativa 
redução significativa de 
significativa de custos 
de custos com 
custos com relação 
com relação ao 
relação ao tempo 
ao tempo de 
tempo de produção 
de produção Como 
produção Como todas 
Como todas as 
todas as bases 
as bases já 
bases já são 
já são providas 
são providas pela 
providas pela ferramenta 
pela ferramenta a 
ferramenta a equipe 
a equipe só 
equipe só precisa 
só precisa se 
precisa se concentrar 
se concentrar na 
concentrar na camada 
na camada de 
camada de negócio 
de negócio Isso 
negócio Isso facilita 
Isso facilita o 
facilita o desenvolvimento 
o desenvolvimento de 
desenvolvimento de software 
de software e 
software e diminui 
e diminui o 
diminui o tempo 
o tempo das 
tempo das entregas 
das entregas Um 
entregas Um problema 
Um problema comum 
problema comum da 
comum da produção 
da produção de 
produção de software 
de software é 
software é a 
é a falta 
a falta de 
falta de consistência 
de consistência de 
consistência de algumas 
de algumas partes 
algumas partes do 
partes do projeto 
do projeto em 
projeto em relação 
em relação a 
relação a outras 
a outras O 
outras O padrão 
O padrão exigido 
padrão exigido quando 
exigido quando se 
quando se trabalha 
se trabalha com 
trabalha com um 
com um framework 
um framework garante 
framework garante que 
garante que a 
que a aplicação 
a aplicação tenha 
aplicação tenha menos 
tenha menos falhas 
menos falhas do 
falhas do que 
do que quando 
que quando é 
quando é produzida 
é produzida integralmente 
produzida integralmente desde 
integralmente desde o 
desde o início 
o início Isso 
início Isso permite 
Isso permite que 
permite que os 
que os desenvolvedores 
os desenvolvedores se 
desenvolvedores se concentrem 
se concentrem no 
concentrem no que 
no que realmente 
que realmente interessa 
realmente interessa Assim 
interessa Assim as 
Assim as regras 
as regras de 
regras de negócio 
de negócio e 
negócio e os 
e os requisitos 
os requisitos apresentados 
requisitos apresentados pelo 
apresentados pelo cliente 
pelo cliente além 
cliente além de 
além de sua 
de sua satisfação 
sua satisfação com 
satisfação com o 
com o sistema 
o sistema têm 
sistema têm prioridade 
têm prioridade Os 
prioridade Os frameworks 
Os frameworks são 
frameworks são ferramentas 
são ferramentas e 
ferramentas e quanto 
e quanto mais 
quanto mais se 
mais se trabalha 
se trabalha com 
trabalha com eles 
com eles maiores 
eles maiores são 
maiores são os 
são os conhecimentos 
os conhecimentos adquiridos 
conhecimentos adquiridos acerca 
adquiridos acerca de 
acerca de seu 
de seu funcionamento 
seu funcionamento A 
funcionamento A cada 
A cada projeto 
cada projeto podese 
projeto podese aproveitar 
podese aproveitar diferentes 
aproveitar diferentes funcionalidades 
diferentes funcionalidades do 
funcionalidades do recurso 
do recurso para 
recurso para melhorar 
para melhorar o 
melhorar o resultado 
o resultado final 
resultado final E 
final E como 
E como essas 
como essas estruturas 
essas estruturas estão 
estruturas estão em 
estão em constante 
em constante evolução 
constante evolução o 
evolução o aprendizado 
o aprendizado é 
aprendizado é natural 
é natural Os 
natural Os benefícios 
Os benefícios de 
benefícios de se 
de se usar 
se usar um 
usar um framework 
um framework são 
framework são muito 
são muito maiores 
muito maiores do 
maiores do que 
do que as 
que as desvantagens 
as desvantagens — 
desvantagens — desde 
— desde que 
desde que se 
que se saiba 
se saiba escolher 
saiba escolher a 
escolher a melhor 
a melhor alternativa 
melhor alternativa e 
alternativa e usea 
e usea bem 
usea bem Por 
bem Por isso 
Por isso veja 
isso veja a 
veja a seguir 
a seguir algumas 
seguir algumas práticas 
algumas práticas negativas 
práticas negativas ligadas 
negativas ligadas ao 
ligadas ao uso 
ao uso desse 
uso desse tipo 
desse tipo de 
tipo de ferramenta 
de ferramenta que 
ferramenta que devem 
que devem ser 
devem ser evitadas 
ser evitadas É 
evitadas É importante 
É importante ressaltar 
importante ressaltar que 
ressaltar que o 
que o framework 
o framework é 
framework é diferente 
é diferente da 
diferente da linguagem 
da linguagem de 
linguagem de programação 
de programação usada 
programação usada para 
usada para escrevêlo 
para escrevêlo Por 
escrevêlo Por isso 
Por isso o 
isso o desenvolvedor 
o desenvolvedor precisa 
desenvolvedor precisa conhecer 
precisa conhecer bem 
conhecer bem a 
bem a linguagem 
a linguagem com 
linguagem com a 
com a qual 
a qual trabalha 
qual trabalha Afinal 
trabalha Afinal a 
Afinal a ideia 
a ideia é 
ideia é que 
é que ele 
que ele aprenda 
ele aprenda mais 
aprenda mais sobre 
mais sobre as 
sobre as funções 
as funções do 
funções do recurso 
do recurso e 
recurso e não 
e não a 
não a linguagem 
a linguagem em 
linguagem em si 
em si Quando 
si Quando se 
Quando se usa 
se usa essa 
usa essa ferramenta 
essa ferramenta o 
ferramenta o projeto 
o projeto passa 
projeto passa a 
passa a estar 
a estar ligado 
estar ligado a 
ligado a ela 
a ela o 
ela o que 
o que causa 
que causa a 
causa a necessidade 
a necessidade de 
necessidade de retrabalho 
de retrabalho em 
retrabalho em caso 
em caso de 
caso de migrações 
de migrações O 
migrações O framework 
O framework é 
framework é uma 
é uma estrutura 
uma estrutura complexa 
estrutura complexa com 
complexa com várias 
com várias funções 
várias funções interligadas 
