ADD B
exclusivamente orientada
executada passo
executado sob
executável compondo
exemplo final
exemplo simples
existam três
exploração muitos
expressar algoritmos
expressão automaticamente
expressões envolvem
externa enviada
externa requerida
extrair características
extremamente produtiva
facilmente adaptáveis
faixas diferentes
fascinação parece
fazemos contas
fazer curvas
fazer sentido
feitos esforços
fenômenos complexos
fenômenos envolvem
ferramentas comuns
ferramentas desoftwarepara
fez algumas
fica atrás
fica escrito
figura inclui
forma descrita
forma precisa
forma significativa
formalmente definida
formular abstrações
fornecem valores
fortemente influenciado
fração recorrente
freqüentemente distinguimos
freqüentemente embrulhado
freqüentemente leva
freqüentemente permite
funcional forma
funções adicionais
funções corretamente
fácil entendimento
física precisa
físico Cientistas
ganhando popularidade
generalização antes
geométrica definida
gera instruções
geralmente menos
geralmente requer
grande projetos
grande vantagem
gráfica extremamente
gráfico tipicamente
gráficos podem
habilidade comum
habilidade natural
herança sugere
hoje embora
humanos parecemos
idéia central
importante primeiro
importância considerável
incluam parâmetros
incluem sistemas
inclui objetos
incluindo carros
incluiria informações
incluíam FORTRAN
incluídas textura
incrementar oresultadodo
incrementar– adicionar
informação contida
informação externa
inglês Computer
inicial igual
iniciante vai
inspecionar outra
inspecionar valores
inspeção visual
instrumento essencial
instruções escritas
instruções fornecidas
instruções poderiam
instruções precisas
integra várias
intelectual associado
interações dinâmicas
introduzirá técnicas
iriam querer
irá enfatizar
janela inclui
lançada comercialmente
lançamento comercial
largamente usada
leitor aprenda
leitores deste
leitores podem
letras maiúsculas
letras usadas
linguagem assemblysão
linguagem natural
linguagem orientada
linguagem precisa
linguagem usa
linguagem visava
linguagens assembly
linguagens baseadas
linguagens derivadas
linguagens dominantes
linguagens mencionadas
linguagens naturais
linguagens orientadas
linguagens suporta
linguagens técnicas
linha especifica
linha horizontal
livro acredita
livro considera
livro inspire
livro introduz
livro introduzirá
livro podem
livro representa
livro visa
logo cedo
logo seguida
lugar seguro
lógica exemplificada
maiores detalhes
mal feito
maneira diferente
maneira harmoniosa
maneira integrada
maneira natural
maneira orientada
maneiras diferentes
manter informações
matemática básica
matemáticas avançadas
membro particular
mencionado acima
menores ainda
menos complexas
menos conhecidas
menos manobrável
menos produtivo
mensagem correspondente
mensagem incrementarpara
mensagens acima
mensagens tomam
mesma cabinedepedágio
mesma maneira
modelados facilmente
modelo comportamental
modelo depende
modelo estático
modelo físico
modelo geral
modernas suportam
modificar caso
modo misto
monótona parte
mostrados aqui
mostrados através
muitas maneiras
muitos ainda
muitos carros
muitos cientistas
muitos princípios
muitos programadores
muitos tipos
mãe devem
mínimos detalhes
naturalmente reconhecer
negocio multimilionário
nessa linguagem
nesse capítulo
nesse caso
nesses dados
nestas linguagens
neste livro
nome CONTADOR
nomes usados
normalmente disponíveis
notação acima
notação onde
notável linguagem
nova classe
nova evolução
novas linguagens
novo conjunto
novo objeto
noção deherança
noção simples
nunca desenvolver
nuvem pontilhada
nuvens sólidas
nível alto
número específico
número infinito
números indicam
objeto CONTADOR
objeto Vamos
objeto citado
objeto contador
objeto descrevem
objeto enquanto
objeto existe
objeto janela
objeto menos
objeto ordinário
objeto ponto
objeto recebendo
objeto simulacaoenviando
objeto temdadose
objeto vista
objetos CONTADOR
objetos Coad
objetos Raramente
objetos acima
objetos baseando
objetos desenvolvidas
objetos envolve
objetos envolvem
objetos evoluem
objetos interagem
objetos interagindo
objetos isolados
objetos ordinários
objetos podem
objetos próximos
objetosimulacaode enviando
obtendo informação
onde dez
operações executadas
operações menores
operações semelhantes
oresultadodo objeto
organismos vivosbaseados
outra parte
outra subclasse
outras classes
outras instâncias
outras linguagens
outras matemáticas
outras sãoconcretas
outro dado
outro lado
outro programa
outro programador
outros cientistas
outros documentos
outros objetos
outros programadores
outros tipos
ouvem falar
palavra chave
palavra comum
palavra herança
palavra paradigma
palavras tolas
palavras técnicas
papel central
papel essencial
paradigma diferente
paradigma orientado
paradigma significa
parece apta
parece estar
pareça natural
parte principal
particular baseados
parâmetro eINTEGERé
parâmetroquantia indica
parâmetros decriar
parênteses indica
parênteses vazios
passo final
passos tradicionais
pequeno erro
pequeno incremento
permite modificar
permite verificar
permitem escrever
perspectiva orientada
pesado geralmente
pesquisas inovadoras
pessoas ouvem
planejamento vem
planilha eletrônica
podem coexistir
podem distinguir
podem estar
podem incluir
podemos citar
podemos efetuar
podemos especificar
podemos executar
podemos fazer
podemos nunca
podemos rapidamente
poder aquisitivo
poder funcionar
ponto principal
populares usadas
popularidade rapidamente
porque C++
possa entender
possamos modelar
possivelmente ainda
possivelmente desenvolvida
possuem operações
possui instâncias
possível chegar
potente linguagem
poucos laboratórios
praticamente desconhecidos
precisa aprender
precisa chamada
precisam desenvolver
precisamente quais
precisão finita
previstas somente
primeira ação
primeira linguagem
primeiras ações
primeiras linguagens
primeiro comando
primeiro curso
primeiro parâmetro
primeiros computadores
principais componentes
princípio fundamental
princípio importante
princípios básicos
princípios fundamentais
princípios importantes
problema dado
problema especificado
problema externo
problema onde
problema sofram
problemas decompõe
problemas orientada
problemas orientado
problemas passa
problemas reais
problemas usando
procedurais populares
processador específico
processamento aritmético
processo essencial
processo formal
processo inteiro
processo intelectual
processo sistemático
produto comercial
produto final
produto freqüentemente
produzir dados
produzir instâncias
produzir resultados
programa amplo
programa bem
programa consiste
programa especifico
programa executa
programa gasta
programa poder
programador determinar
programador entrar
programador precisa
programador usar
programados usando
programas orientados
programas possuem
programas representam
programação PROLOG
programação Smalltalk
programação Três
programação estruturada
programação exclusivamente
programação orientada
programação proporciona
programação qualquer
programação salienta
proposições lógicas
propriedades termodinâmicas
propriedades visuais
propósitos deste
próprio computador
próprio objeto
próximo capítulo
publicamente disponível
quais computadores
quais serviços
quaisquer entidades
qualquer coisa
qualquer computação
quantidade decimal
quanto aplicada
quanto engenheiros
quanto prática
quarta ação
quase impossível
quase qualquer
quatro coisas
quatro objetos
queiramos construir
quer dizer
queremos criar
querendo aprender
querer ler
rapidamente aprendemos
rapidamente desenvolver
razoável dizer
re objetos
reais após
real bem
realizada nesses
realizando ações
realizar tarefas
reforço teórico
região geométrica
relacionamento lógico
relativamente simples
relações importantes
representam instruções
representar algo
representações internas
resolver problemas
responsabilidadesdo objeto
resposta exata
reutilizáveis desoftware
seguinte estado
seguinte seqüência
segunda ação
semelhantes comosearch
sendo diferentes
sendo resolvido
sendo umaclasse
sendo utilizadas
separação clara
serem adicionados
serem escritos
serem realizadas
seres humanos
serviços associados
serviços contidos
serviços descritos
serviços exclusivos
sete ações
seção externa
si através
sido agrupadas
sido criados
sido desenvolvidas
sido largamente
sido usada
sigla LISP
significa processamento
silenciosa pesquisa
simples exemplo
sintaxe misteriosa
sintaxe relativamente
sistemas desoftwaresão
sistemas visam
sofram mudanças
software Incluídas
software durante
software orientado
softwarepara apoiar
solução orientada
somente Smalltalk
somente computadores
somente mensagens
somente podiam
subclasse compartilhe
subclasse deve
subclasse possibilite
subproduto deste
subrotina através
substantivo Introduziremos
sugere ação
superior esquerda
superior esquerdo
suporta herança
suportam estruturas
suporte rico
símbolos químicos
tabulações baseado
tais generalizações
tal abstração
tal classe
tal comando
tal curso
tal janela
tal notação
tal objeto
tarde levou
tarde nesse
temdadose comportamento
tendo algumas
tentam representar
tentamos extrair
terceira ação
terceiro número
terminam tal
texto modernos
textura precisos
teórica quanto
tipicamente encontrado
tipicamente realizada
tipos numéricos
tipos similares
tipos trabalhando
tomam conta
tornado agora
tornado popular
tornam ligadas
totalmente descrito
totalmente nova
trabalhando juntos
trabalho criativo
transformações funcionais
traços comuns
tráfego aéreo
três contadores
três maneiras
três objetos
três partes
três parâmetros
três primeiras
três unidades
tão teórica
técnicas importantes
típica linguagem
umaclasse abstrataem
umaclasse concreta
unidade básica
unificar formato
usa seqüências
usada neste
usada principalmente
usadas descrevem
usadas hoje
usadas letras
usam caracteres
usando linguagem
usando objetos
usar tal
uso destas
usualmente vêm
utilizadas hoje
utilizarcomandosou consultasde
valor atual
valor deresultadoem
valor inicial
valor positivo
valor total
valores característicos
valores externos
valores fracionários
valores inteiros
valores numéricos
vamos considerar
variações proporcionam
variáveis constituem
variável c
vazios perto
vem facilmente
vem primeiro
verificado através
versão final
veículo vermelho
veículos chegam
veículos conhecidos
veículos incluindo
visa propiciar
visam controlar
visava proporcionar
vista neste
visuais abstratas
visão externa
várias categorias
várias entidades
várias espécies
várias gerações
várias linguagens
várias maneiras
várias novas
várias partes
vários estímulos
vários objetos
vários parâmetros
vários tipos
vêm acompanhados
